1;0.00100028260042805;-90.057311981516
2;0.00200056219801548;-90.114623852128
3;0.00300083578996675;-90.1719355009334
4;0.00400110037357642;-90.2292468170322
5;0.00500135294627426;-90.2865576895282
6;0.00600159050567031;-90.3438680075306
7;0.00700181004959988;-90.4011776601548
8;0.00800200857616862;-90.4584865365243
9;0.00900218308379759;-90.5157945257716
10;0.0100023305712682;-90.5731015170396
20;0.020001659416926;-91.1460921623503
30;0.0299949893127839;-91.7188611942905
40;0.0399793320217535;-92.2912981310111
50;0.0499517127481449;-92.8632928794011
60;0.059909174545137;-93.4347358628968
70;0.0698487826602678;-94.0055181477865
80;0.079767628804181;-94.57553156765
90;0.0896628353283375;-95.1446688455816
100;0.0995315592979634;-95.7128237138587
200;0.196169123027915;-101.317905811723
300;0.287421207492158;-106.719346610019
400;0.371478306653049;-111.841853975865
500;0.447309221745021;-116.634748232765
600;0.514593481602177;-121.071371160973
700;0.573557086882469;-125.145344508048
800;0.624782662124152;-128.865448764285
900;0.66904196210481;-132.250519269428
1000;0.70717111992459;-135.325147148377
2000;0.894297084680063;-154.459064826583
3000;0.948279004812028;-163.288640314763
4000;0.969375259236047;-168.364410996784
5000;0.979354969300745;-171.753583530201
6000;0.984612002021325;-174.255229392757
7000;0.987513026331479;-176.235541800272
8000;0.98908862294627;-177.884342853109
9000;0.989843871142228;-179.30937950672
10000;0.990049507107795;-180.576182009823
20000;0.97915145864265;-189.651986267378
30000;0.956842041672535;-196.528836626601
40000;0.92740896405921;-202.54433056592
50000;0.893082169153906;-207.930174185131
60000;0.855770666149336;-212.761601521477
70000;0.817072740449557;-217.086236119466
80000;0.778235204627358;-220.949157436445
90000;0.740162522960255;-224.396328394307
100000;0.703462804874676;-227.473245084589
200000;0.438424233798349;-245.512486735907
300000;0.302812429727899;-253.129627428099
400000;0.225127985862132;-257.191886188997
500000;0.175363516853012;-259.694082807029
600000;0.140931953138522;-261.384393489382
700000;0.115824636769452;-262.600931351365
800000;0.0968277895335134;-263.517667737716
900000;0.0820601082307953;-264.232942620037
1000000;0.0703400031286308;-264.806430993769
2000000;0.0223264735493197;-267.398047489697
3000000;0.0105320954178187;-268.264724223872
4000000;0.00605978205636559;-268.698374813232
5000000;0.003920428961829;-268.958637489779
6000000;0.00273882746054122;-269.132169674229
7000000;0.00201952733309874;-269.256130841527
8000000;0.0015498743544907;-269.349106198059
9000000;0.00122659400703074;-269.421422680374
10000000;0.000994705863134785;-269.479277160442
20000000;0.000249614299097875;-269.739633381221
30000000;0.00011101738833725;-269.826421612268
40000000;6.24625995225913E-05;-269.869816040706
50000000;3.99806039076408E-05;-269.895852770173
60000000;2.7766021414088E-05;-269.913210613568
70000000;2.04002849664658E-05;-269.925609082747
80000000;1.56193453887487E-05;-269.934907939114
90000000;1.23414155213108E-05;-269.942140385272
100000000;9.99666497519921E-06;-269.947926343492
200000000;2.49926089521927E-06;-269.973963166547
300000000;1.11079041085542E-06;-269.982642110389
400000000;6.24821139933147E-07;-269.986981582623
500000000;3.99885983923003E-07;-269.989585266036
600000000;2.77698771346963E-07;-269.991321055002
700000000;2.04023663042084E-07;-269.992560904273
800000000;1.56205654747786E-07;-269.993490791231
900000000;1.23421772338711E-07;-269.994214036644
1000000000;9.9971647436608E-08;-269.994792632977
2000000000;2.49929213251696E-08;-269.997396316483
3000000000;1.11079658125053E-08;-269.998264210988
4000000000;6.24823092291892E-09;-269.998698158241
5000000000;3.99886783610504E-09;-269.998958526593
6000000000;2.77699156999085E-09;-269.999132105494
7000000000;2.0402387120761E-09;-269.999256090423
8000000000;1.56205776770639E-09;-269.99934907912
9000000000;1.23421848516997E-09;-269.999421403663
10000000000;9.99716974171901E-10;-269.999479263296
20000000000;2.49929244489578E-10;-269.999739631648
30000000000;1.110796642955E-10;-269.999826421099
40000000000;6.24823111815571E-11;-269.999869815824
50000000000;3.99886791607402E-11;-269.999895852659
60000000000;2.77699160855614E-11;-269.999913210549
70000000000;2.04023873289269E-11;-269.999925609042
80000000000;1.56205777990869E-11;-269.999934907912
90000000000;1.2342184927878E-11;-269.999942140366
100000000000;9.99716979169963E-12;-269.99994792633
200000000000;2.49929244801957E-12;-269.999973963165
300000000000;1.11079664357204E-12;-269.99998264211
400000000000;6.24823112010808E-13;-269.999986981582
500000000000;3.99886791687371E-13;-269.999989585266
600000000000;2.77699160894179E-13;-269.999991321055
700000000000;2.04023873310085E-13;-269.999992560904
800000000000;1.56205778003072E-13;-269.999993490791
900000000000;1.23421849286398E-13;-269.999994214037
1000000000000;9.99716979219943E-14;-269.999994792633
2000000000000;2.4992924480508E-14;-269.999997396316
3000000000000;1.11079664357821E-14;-269.999998264211
4000000000000;6.2482311201276E-15;-269.999998698158
5000000000000;3.99886791688171E-15;-269.999998958527
6000000000000;2.77699160894565E-15;-269.999999132105
7000000000000;2.04023873310293E-15;-269.99999925609
8000000000000;1.56205778003194E-15;-269.999999349079
9000000000000;1.23421849286474E-15;-269.999999421404
10000000000000;9.99716979220443E-16;-269.999999479263
